Date,ConfirmedGrowth,Confirmed,Tests,Hospitalized,Deaths,DeathsConfirmed,DeathsProbable,PositivePct,CurrentlyHospitalized,CurrentlyInICU,CurrentlyOnVentilator,Geography,ID Geography,DailyDeaths,DailyHospitalized,DailyTests,ConfirmedPC,DailyDeathsPC,DeathsPC,DailyTestsPC,TestsPC,DailyHospitalizedPC,HospitalizedPC,ConfirmedGrowthPC,ConfirmedSmooth,ConfirmedPCSmooth,DailyDeathsSmooth,DailyDeathsPCSmooth,DeathsSmooth,DeathsPCSmooth,DailyTestsSmooth,DailyTestsPCSmooth,TestsSmooth,TestsPCSmooth,DailyHospitalizedSmooth,DailyHospitalizedPCSmooth,HospitalizedSmooth,HospitalizedPCSmooth,ConfirmedGrowthSmooth,ConfirmedGrowthPCSmooth,Timestamp,Year,Date_year,Date1
3/4/20,0,6,78,,,0,,7.692307692,,,,New York,04000US36,,,,0.030702773,,,,0.399136044,,,,96.625,0.494442568,0,0,0,0,40.75,0.208522998,322.625,1.650913671,0,0,0,0,26.25,0.13432463,1.58E+12,2020/,3/4/20,202034
3/5/20,16,22,122,,,,,18.03278689,,,,New York,04000US36,0,0,44,0.112576833,,,0.225153666,0.624289711,,,0.08187406,109.8888889,0.562315595,0,0,0,0,36.22222222,0.185353776,331.6666667,1.697181044,0,0,0,0,23.33333333,0.119399671,1.58E+12,2020/,3/5/20,202035
3/6/20,11,33,361,,,,,9.141274238,,,,New York,04000US36,0,0,239,0.16886525,,,1.222993777,1.847283488,,,0.056288417,141,0.721515157,0,0,0,0,312.2,1.597567604,618.5,3.164944147,0,0,0,0,41.5,0.212360844,1.58E+12,2020/,3/6/20,202036
3/7/20,43,76,404,,,,,18.81188119,,,,New York,04000US36,0,0,43,0.388901787,,,0.220036537,2.067320025,,,0.220036537,175.8181818,0.899684277,0,0,0,0,293.1818182,1.500249118,862.5454545,4.413756165,0,0,0,0,47.09090909,0.240970246,1.58E+12,2020/,3/7/20,202037
3/8/20,29,105,404,,,,,25.99009901,,,,New York,04000US36,0,0,0,0.537298521,,,,2.067320025,,,0.148396734,221.9166667,1.135576161,0.25,0.001279282,0.25,0.001279282,432.8333333,2.214863905,1230,6.294068393,0,0,0,0,60.25,0.308307009,1.58E+12,2020/,3/8/20,202038
3/9/20,37,142,404,,,,,35.14851485,,,,New York,04000US36,0,0,0,0.726632286,,,,2.067320025,,,0.189333765,277.9230769,1.422168174,0.538461538,0.002755377,0.769230769,0.003936253,416.5384615,2.131480947,1557.923077,7.972093006,0,0,0,0,72.61538462,0.371582274,1.58E+12,2020/,3/9/20,202039
3/10/20,31,173,404,,,,,42.82178218,,,,New York,04000US36,0,0,0,0.885263278,,,,2.067320025,,,0.158630992,379.5,1.94195037,0.5,0.002558564,1.214285714,0.006213656,509.1428571,2.605349565,1961.357143,10.03651707,0,0,0,0,121,0.619172582,1.58E+12,2020/,3/10/20,2020310
3/11/20,43,216,404,,,,,53.46534653,,,,New York,04000US36,0,0,0,1.105299815,,,,2.067320025,,,0.220036537,513,2.625087062,0.8,0.004093703,1.933333333,0.009893116,967.9333333,4.953039512,2803.733333,14.34706452,0,0,0,0,158.4,0.810553198,1.58E+12,2020/,3/11/20,2020311
3/12/20,0,216,404,,,,,53.46534653,,,,New York,04000US36,0,0,0,1.105299815,,,,2.067320025,,,,789.4,4.039461455,0.8,0.004093703,2.733333333,0.013986819,1480.4,7.575397438,4284.133333,21.92246196,0,0,0,0,276.4,1.414374393,1.58E+12,2020/,3/12/20,2020312
3/13/20,205,421,3200,,,,,13.15625,,,,New York,04000US36,0,0,2796,2.154311214,,,14.30749205,16.37481208,,,1.049011399,1261.4,6.454746237,2.333333333,0.011939967,5.066666667,0.025926786,2153.666667,11.02058967,6437.8,32.94305163,0,0,0,0,472,2.415284782,1.58E+12,2020/,3/13/20,2020313
3/14/20,103,524,3303,,,,,15.86436573,,,,New York,04000US36,0,0,103,2.681375478,,,0.527064264,16.90187634,,,0.527064264,1949.6,9.97635426,2.933333333,0.015010244,8,0.04093703,3005.066667,15.37731311,9442.866667,48.32036474,102.0666667,0.522288277,102.0666667,0.522288277,688.2,3.521608023,1.58E+12,2020/,3/14/20,2020314
