Date,ConfirmedGrowth,Confirmed,Tests,Hospitalized,Deaths,DeathsConfirmed,DeathsProbable,PositivePct,CurrentlyHospitalized,CurrentlyInICU,CurrentlyOnVentilator,Geography,ID Geography,DailyDeaths,DailyHospitalized,DailyTests,ConfirmedPC,DailyDeathsPC,DeathsPC,DailyTestsPC,TestsPC,DailyHospitalizedPC,HospitalizedPC,ConfirmedGrowthPC,ConfirmedSmooth,ConfirmedPCSmooth,DailyDeathsSmooth,DailyDeathsPCSmooth,DeathsSmooth,DeathsPCSmooth,DailyTestsSmooth,DailyTestsPCSmooth,TestsSmooth,TestsPCSmooth,DailyHospitalizedSmooth,DailyHospitalizedPCSmooth,HospitalizedSmooth,HospitalizedPCSmooth,ConfirmedGrowthSmooth,ConfirmedGrowthPCSmooth,Timestamp,Year,Date_year,Date1
3/1/20,16,50,135,,8,"0,","0,",37.03703704,,,,United States,01000US,3,0,75,0.015282694,0.000916962,0.002445231,0.022924042,0.041263275,,,0.004890462,374.75,0.114543795,3.25,0.000993375,19.125,0.005845631,539.625,0.16493848,2396,0.732346717,0.25,7.64E-05,3.375,0.001031582,94.25,0.028807879,1.58E+12,2020/,3/1/20,202031
3/2/20,44,94,337,,11,,",0",27.89317507,,,,United States,01000US,3,0,202,0.028731466,0.000916962,0.003362193,0.061742086,0.103005361,,,0.013448771,462.3333333,0.141313981,3.333333333,0.001018846,20.88888889,0.00638477,674,0.206010721,2937.555556,0.897875279,0.444444444,0.000135846,3.888888889,0.001188654,116.2222222,0.035523774,1.58E+12,2020/,3/2/20,202032
3/3/20,50,144,590,,14,,",0",24.40677966,,,,United States,01000US,3,0,253,0.04401416,0.000916962,0.004279154,0.077330434,0.180335794,,,0.015282694,571.5,0.174681197,3.2,0.000978092,22.5,0.006877212,877.5,0.268211287,3641.7,1.113099767,0.4,0.000122262,4.3,0.001314312,143.7,0.043922464,1.58E+12,2020/,3/3/20,202033
3/4/20,64,282,1802,4,16,",0",",0",15.64927858,,,,United States,01000US,2,0,352,0.086194397,0.000611308,0.004890462,0.107590169,0.550788308,,0.001222616,0.019561849,706.4545455,0.215930579,3.454545455,0.001055895,24.36363636,0.00744684,1160.818182,0.354808591,4580.909091,1.400172678,0.636363636,0.000194507,4.909090909,0.001500483,176.2727273,0.053878445,1.58E+12,2020/,3/4/20,202034
3/5/20,100,386,2532,5,20,",0",",0",15.24486572,,,,United States,01000US,4,1,623,0.117982401,0.001222616,0.006113078,0.190422373,0.773915646,0.000305654,0.001528269,0.030565389,875,0.267447153,3.833333333,0.001171673,26.58333333,0.008125299,1519.75,0.464517497,5819.25,1.778676392,1,0.000305654,5.833333333,0.001782981,217.6666667,0.066530663,1.58E+12,2020/,3/5/20,202035
3/6/20,110,499,3629,6,26,",0",",0",13.75034445,,,,United States,01000US,6,1,981,0.15252129,0.001833923,0.007947001,0.299846465,1.109217962,0.000305654,0.001833923,0.033621928,1099.076923,0.335937136,3.846153846,0.001175592,28.76923077,0.008793427,2158.769231,0.65983621,7623,2.329999594,1.384615385,0.000423213,7.076923077,0.002163089,282.3846154,0.086311956,1.58E+12,2020/,3/6/20,202036
3/7/20,171,672,4622,6,27,",0",",0",14.53916054,,,,United States,01000US,1,0,932,0.205399413,0.000305654,0.008252655,0.284869424,1.412732274,,0.001833923,0.052266815,1356.642857,0.414663165,4.214285714,0.001288113,31.28571429,0.0095626,2365.928571,0.723155268,9530.428571,2.913012554,1.571428571,0.000480313,8.428571429,0.002576226,327.7142857,0.100167146,1.58E+12,2020/,3/7/20,202037
3/8/20,199,871,5521,6,31,",0",",0",15.77612751,,,,United States,01000US,4,0,899,0.266224537,0.001222616,0.009475271,0.274782846,1.68751512,,0.001833923,0.060825124,1666,0.509219379,4.933333333,0.001507893,34.46666667,0.010534871,2816.6,0.860904743,11791.93333,3.604250279,2.133333333,0.000652062,10.26666667,0.003138047,392,0.119816324,1.58E+12,2020/,3/8/20,202038
3/9/20,292,1163,7270,8,35,",0",",0",15.99724897,,,,United States,01000US,4,2,1749,0.355475473,0.001222616,0.010697886,0.534588651,2.222103771,0.000611308,0.002445231,0.089250936,2179.4,0.666142085,6.133333333,0.001874677,40.6,0.012409548,4021.933333,1.229319564,15892.86667,4.8577165,2.533333333,0.000774323,13.06666667,0.003993877,507.2666667,0.155048029,1.58E+12,2020/,3/9/20,202039
3/10/20,391,1554,9979,8,37,",0",",0",15.57270268,,,,United States,01000US,2,0,2709,0.474986143,0.000611308,0.011309194,0.828016385,3.050120156,,0.002445231,0.11951067,2861.2,0.874536906,7.6,0.00232297,48.2,0.014732517,5164.6,1.578580074,21136.46667,6.460443231,3.4,0.001039223,16.73333333,0.005114608,675.6666667,0.206520144,1.58E+12,2020/,3/10/20,2020310
