Date,avgTemp
14,38.3
15,45.4
16,38
17,38.8
18,40.6
19,44.4
20,43.7
21,47.1
22,48.3
23,41.2
24,43.9
25,47.3
26,51.9
27,53.5
28,46.5
29,36.6
30,37.4
1,35.2
2,35.7
3,33.9
4,38.1
5,39.9
6,42.5
7,35.7
8,36.7
9,47.8
10,54.2
11,35.2
12,32.2
13,42.6
14,50.4
15,43.9
16,35.7
17,34.4
18,31.8
19,22.2
20,28
21,30.1
22,39.7
23,47.3
24,42.8
25,37.5
26,39.1
27,50.3
28,46.9
29,40.5
30,40.8
31,40.9
1,38.1
2,42.1
3,46.7
4,46.1
5,38.2
6,37.8
7,39.5
8,35
9,29.2
10,44.3
11,55.4
12,59.1
13,41.5
14,40.5
15,45.3
16,43.1
17,26.3
18,27.1
19,37.7
20,25.8
21,26.8
22,32.5
23,39.5
24,39.8
25,42.3
26,41.8
27,40.5
28,38.9
29,35
30,30.7
31,37.6
1,38.6
2,38.1
3,46.4
4,47.8
5,40.8
6,37.9
7,39.9
8,35
9,36.1
10,44.1
11,43.7
