Date,Traveler
3/1/20,2280522
3/2/20,2089641
3/3/20,1736393
3/4/20,1877401
3/5/20,2130015
3/6/20,2198517
3/7/20,1844811
3/8/20,2119867
3/9/20,1909363
3/10/20,1617220
3/11/20,1702686
3/12/20,1788456
3/13/20,1714372
3/14/20,1485553
3/15/20,1519192
3/16/20,1257823
3/17/20,953699
3/18/20,779631
3/19/20,620883
3/20/20,593167
3/21/20,548132
3/22/20,454516
3/23/20,331431
3/24/20,279018
3/25/20,239234
3/26/20,203858
3/27/20,199644
3/28/20,184027
3/29/20,180002
3/30/20,154080
3/31/20,146348
4/1/20,136023
4/2/20,124021
4/3/20,129763
4/4/20,118302
4/5/20,122029
4/6/20,108310
4/7/20,97130
4/8/20,94931
4/9/20,104090
4/10/20,108977
4/11/20,93645
4/12/20,90510
4/13/20,102184
4/14/20,87534
4/15/20,90784
4/16/20,95085
4/17/20,106385
4/18/20,97236
4/19/20,105382
4/20/20,99344
4/21/20,92859
4/22/20,98968
4/23/20,111627
4/24/20,123464
4/25/20,114459
4/26/20,128875
4/27/20,119854
4/28/20,110913
4/29/20,119629
4/30/20,154695
5/1/20,171563
5/2/20,134261
5/3/20,170254
5/4/20,163692
5/5/20,130601
5/6/20,140409
5/7/20,190863
5/8/20,215444
5/9/20,169580
5/10/20,200815
5/11/20,215645
5/12/20,163205
5/13/20,176667
5/14/20,234928
5/15/20,250467
5/16/20,193340
5/17/20,253807
5/18/20,244176
5/19/20,190477
5/20/20,230367
5/21/20,318449
5/22/20,348673
5/23/20,253190
5/24/20,267451
5/25/20,340769
5/26/20,264843
5/27/20,261170
5/28/20,321776
5/29/20,327133
5/30/20,268867
5/31/20,352947
6/1/20,353261
6/2/20,267742
6/3/20,304436
6/4/20,391882
6/5/20,419675
6/6/20,353016
6/7/20,441255
6/8/20,430414
6/9/20,338382
6/10/20,386969
6/11/20,502209
6/12/20,519304
6/13/20,437119
6/14/20,544046
6/15/20,534528
6/16/20,417924
6/17/20,441829
6/18/20,576514
6/19/20,587908
6/20/20,507129
6/21/20,590456
6/22/20,607540
6/23/20,471421
6/24/20,494826
6/25/20,623624
6/26/20,632984
6/27/20,546310
6/28/20,633810
6/29/20,625235
6/30/20,500054
7/1/20,626516
7/2/20,764761
7/3/20,718988
7/4/20,466669
7/5/20,732123
7/6/20,755555
7/7/20,641761
7/8/20,632498
7/9/20,709653
7/10/20,711124
7/11/20,656284
7/12/20,754545
7/13/20,697985
7/14/20,540268
7/15/20,589285
7/16/20,706164
7/17/20,720378
7/18/20,646654
7/19/20,747422
7/20/20,695330
7/21/20,530421
7/22/20,570951
7/23/20,704815
7/24/20,724770
7/25/20,649027
7/26/20,751205
7/27/20,700043
7/28/20,536756
7/29/20,573200
7/30/20,718310
7/31/20,767320
8/1/20,709033
8/2/20,799861
8/3/20,737235
8/4/20,543601
8/5/20,595739
8/6/20,743599
8/7/20,762547
8/8/20,683212
8/9/20,831789
8/10/20,761861
8/11/20,559420
8/12/20,590749
8/13/20,761821
8/14/20,783744
8/15/20,689895
8/16/20,862949
8/17/20,773319
8/18/20,565946
8/19/20,586718
8/20/20,772380
8/21/20,764468
8/22/20,625822
8/23/20,841806
8/24/20,726788
8/25/20,523186
8/26/20,540043
8/27/20,721060
8/28/20,738873
8/29/20,591734
8/30/20,807695
8/31/20,711178
9/1/20,516068
9/2/20,578131
9/3/20,877698
9/4/20,968673
9/5/20,664640
9/6/20,689630
9/7/20,935308
9/8/20,704075
9/9/20,616923
9/10/20,755051
9/11/20,731353
9/12/20,613703
9/13/20,809850
9/14/20,729558
9/15/20,522383
9/16/20,577847
9/17/20,784746
9/18/20,812214
9/19/20,638575
9/20/20,847968
9/21/20,769936
9/22/20,549741
9/23/20,608726
9/24/20,826316
9/25/20,826329
9/26/20,659350
9/27/20,873038
9/28/20,797699
9/29/20,568688
9/30/20,634046
10/1/20,855908
10/2/20,857186
10/3/20,677661
10/4/20,900911
10/5/20,816838
10/6/20,590766
10/7/20,668519
10/8/20,936915
10/9/20,968545
10/10/20,769868
10/11/20,984234
10/12/20,958440
10/13/20,680894
10/14/20,717940
10/15/20,950024
10/16/20,973046
10/17/20,788743
10/18/20,1031505
10/19/20,921031
10/20/20,662484
10/21/20,694150
10/22/20,934386
10/23/20,958437
10/24/20,755287
10/25/20,983745
10/26/20,898735
10/27/20,648517
10/28/20,666957
10/29/20,873636
10/30/20,892712
10/31/20,618476
11/1/20,936092
11/2/20,846138
11/3/20,575829
11/4/20,636533
11/5/20,867105
11/6/20,895091
11/7/20,689951
11/8/20,973020
11/9/20,836600
11/10/20,596475
11/11/20,674633
11/12/20,866679
11/13/20,881579
