f,Avg_NY,Avg_DALLAS,Avg_Ca,Avg_FL,Avg_IL,Avg_GA,Avg_WI,Avg_seattle,Avg_charlotteNC,Avg_Den_CO,Avg_ph_AZ
3/1/20,35.5,64.8,54.3,65.6,49.5,50.5,40.1,41.4,43.7,33.4,64.5
3/2/20,48.2,65.9,59.9,72.2,36,52.6,34.6,45,53.3,28.4,60
3/3/20,52.4,62.6,66.6,76.1,41,63.2,34.9,47.8,56,40.5,62.8
3/4/20,50.5,56.2,60.1,78.2,40.5,56.1,36.3,45.9,53.9,47.8,62
3/5/20,44.8,59,63.9,81.5,42.8,51.1,38.5,46,50,36.3,68.7
3/6/20,41.6,56.8,59.2,76.8,36.3,49.1,31.1,40.9,44.6,49.5,72.8
3/7/20,41,55.5,55.8,67.8,43.6,45.9,37.8,40.8,44.5,53.5,71.8
3/8/20,47.8,59.6,54.6,70.4,56.4,50.6,50.1,41.1,47.3,52.4,67.6
3/9/20,59.3,65.7,57.9,73.5,50.2,56.3,47.4,41.5,54.1,43.5,66.6
3/10/20,61,65.9,59.7,75.1,41.8,59.9,38.1,44.1,61.1,47.2,66.8
3/11/20,50.4,74.4,60.8,74.5,42.9,61.4,39.3,45.9,62.7,52.1,63.3
3/12/20,44.7,75.3,54,75.4,48,64.9,42.5,43.5,64,41,65.5
3/13/20,54.6,65.8,52.1,76.3,41.7,67,37.5,37.6,69.2,34.7,57.4
3/14/20,48.9,62.2,53.7,77.9,34.7,67.4,31.7,37.8,62.6,35.4,64.6
3/15/20,46.8,53.8,54.4,77.7,34.2,61.6,31.9,38.3,56.7,40.1,64.6
3/16/20,39.3,57.8,51.5,77,37.6,55.6,34.8,45.2,50.7,42.7,66.6
3/17/20,47.5,64.7,48,77.4,41.1,57,37.7,44.1,52.8,42.2,65.7
3/18/20,47.6,71.2,51.3,77.2,44.5,64.5,35.5,45.2,59.7,50.4,58.2
3/19/20,46.2,71.6,52,78.5,51.4,65.6,42.3,48.1,67.6,32,56.3
3/20/20,56,53.9,55.8,78.5,40.3,70.7,34.1,50.7,74.5,20.5,60.2
3/21/20,48.5,50.9,57.5,78.5,33.6,64.3,27.7,46.5,70,26.5,64.1
3/22/20,38.4,58.3,55.2,77.6,32.1,55.5,31,46.3,55.5,39.9,64.6
3/23/20,39.2,63.6,55.5,77.8,32.7,56.5,36.7,44,49.1,44.5,67.3
3/24/20,44,73.9,54.1,78.2,39.5,65.3,42.3,43.2,56.2,47,66.7
3/25/20,42.8,73.8,54.9,79.3,42.5,65.9,42.8,42,58.4,51.4,66.8
3/26/20,47,76.1,50.5,77.6,47.9,65.2,42.4,43.6,53.5,39.7,63.6
3/27/20,57.5,75.8,54.3,78.8,48,72.2,44.1,46,67.3,34.4,58.2
3/28/20,46.4,69.5,54.1,77.2,55.4,73.9,44.5,49,74.7,38.3,59.2
3/29/20,45.5,62.1,56,79.5,47.6,72.1,43,48.7,75.4,41.1,65.2
3/30/20,45.7,58.4,59.2,79.8,48.6,66.6,44.8,44.2,66.6,45.4,66
3/31/20,44.1,58.6,64.3,80.8,41.6,56.9,36.6,43.2,56.1,51.5,68
4/1/20,45.5,61.9,62.7,77.9,45.7,51,42.3,43.4,51.2,51.3,73.1
4/2/20,49.2,65.2,60.3,74.4,53,54.6,49.4,42.8,53.3,24.5,71.5
4/3/20,49.6,55,58.2,76.2,48.5,63,49.3,42.2,59,26.7,71.2
4/4/20,50.9,45.4,57.1,77.4,41.7,66.5,37.5,44.6,63.2,42.8,71.8
